,title,type,source,text,added_date
0,Japanese companies warm up to employee stock incentives,Business,Reuters,"Airline operator ANA Holdings plans to offer around $60 million worth of shares to thousands of employees, the latest Japanese company to use employee share incentives as a tool to retain talent and comply with a request by the regulator to pay more attention to share price performance.  ANA will offer 100 shares worth about $20 each to about 70% of nearly 45,000 employees in November, following in the footsteps of other major Japanese firms such as Omron and Sony Group.  The employee share incentive plans coincide with one of the most severe labour shortages Japan has seen in years, and as the Tokyo Stock Exchange urges listed firms to become ""more conscious"" of their share prices due to concerns that far too many companies are trading below their book value.",2023-09-19 23:16:58.583840
1,UK urges Meta not to roll out end-to-end encryption on Messenger and Instagram,World,Reuters,"Britain urged Meta not to roll out end-to-end encryption on Instagram and Facebook Messenger without safety measures to protect children from sexual abuse after the Online Safety Bill was passed by parliament.  Meta, which already encrypts messages on WhatsApp, plans to implement end-to-end encryption across Messenger and Instagram direct messages, saying the technology re-enforced safety and security.  Britain's Home Secretary Suella Braverman said she supported strong encryption for online users but it could not come at the expense of children's safety.",2023-09-19 23:26:48.933804
2,Arguments to free FTX founder Sam Bankman-Fried get rough reception from federal appeals panel,U.S.,AP Finance,"A federal appeals court in Manhattan seemed unreceptive Tuesday to arguments that FTX founder Sam Bankman-Fried should be released on bail before his trial starts in two weeks so he can better prepare for trial.  The 2nd U.S. Circuit Court of Appeals heard arguments in Manhattan, and all three judges were dismissive of his lawyer’s claims that the First Amendment protects him from a judge’s conclusion that his actions while confined to his parents' home in Palo Alto, California, for eight months violated the conditions of his $250 million bail.  Bankman-Fried, 31, was extradited to the United States last December from the Bahamas to face charges that he stole billions of dollars in FTX customer deposits, spending tens of millions on his businesses, speculative investments, charitable donations and campaign contributions meant to influence cryptocurrency regulation in Washington.",2023-09-19 23:43:16.518750
3,California truck drivers ask Newsom to sign bill saving jobs as self-driving big rigs are tested,U.S.,AP Finance,"California lawmakers, union leaders and truck drivers are trying to steer Democratic Gov. Gavin Newsom toward signing into law a proposal that could save jobs as self-driving trucks are tested for their safety on the roads.  The legislation would ban self-driving trucks weighing more than 10,000 pounds (4,536 kilograms) — which would include vehicles from UPS delivery trucks to massive semi-trucks — from operating on public roads unless a human driver is on board.  Proponents of the bill say it would help address concerns about safety and losing truck driving jobs to automation in the future.",2023-09-19 23:43:16.520753
4,Asia Stocks Set for Cautious Start as Fed in Focus: Markets Wrap,Business,Bloomberg,"(Bloomberg) -- Equity markets in Asia are poised for a muted open after US stocks posted modest losses ahead of the Federal Reserve’s policy decision, with traders betting interest rates will be higher for longer to curb inflation.Most Read from BloombergVegas’ Newest Resort Is a $3.7 Billion Palace, 23 Years in the MakingF-35 Debris Found After a $100 Million Fighter Jet Went MissingIndia, Canada Trade Diplomatic Blows Over Murder AllegationsVanderbilt Rips US News Over Slide in College Ranking",2023-09-19 23:49:17.896938
5,Poland’s Duda Makes Dig at Zelenskiy as Their Once-Strong Bond Frays,World,Bloomberg,"(Bloomberg) -- Poland President Andrzej Duda criticized Ukraine for its handling of a dispute over imported grain, adding to strains between two countries whose alliance has been central to the push to repel Russia’s invasion.Most Read from BloombergVegas’ Newest Resort Is a $3.7 Billion Palace, 23 Years in the MakingF-35 Debris Found After a $100 Million Fighter Jet Went MissingIndia, Canada Trade Diplomatic Blows Over Murder AllegationsVanderbilt Rips US News Over Slide in College Rankings“We",2023-09-20 00:04:38.534513
6,Oracle to use Ampere's newest chips in its cloud offering,Business,Reuters,"Oracle said on Tuesday that it would use Ampere Computing's flagship processor chips in its cloud computing service, in a boost to the chip company that has filed for an initial public offering.  Ampere, which was founded by former Intel executives, designs chips for data centers using technology from Arm Holdings and outsources production to Taiwan's TSMC .  Ampere aimed to create chips that are designed to be more energy efficient than traditional processors from Intel and Advanced Micro Devices, both of which have subsequently announced offerings that compete with Ampere's chips.",2023-09-20 00:13:27.202173
7,Oil’s Blistering Rally Takes Breather as Investors Turn to Fed,Business,Bloomberg,"(Bloomberg) -- Oil steadied after a breakneck rally as wider markets held a cautious tone ahead of a Federal Reserve meeting, and traders assessed estimates pointing to further draws in US crude stockpiles.Most Read from BloombergVegas’ Newest Resort Is a $3.7 Billion Palace, 23 Years in the MakingF-35 Debris Found After a $100 Million Fighter Jet Went MissingIndia, Canada Trade Diplomatic Blows Over Murder AllegationsVanderbilt Rips US News Over Slide in College RankingsWest Texas Intermediate",2023-09-20 00:18:08.465277
8,"On the Ohio-to-Michigan highway, US auto workers drive for solidarity",Business,Reuters,"A Toledo grocery store parking lot was full of Jeeps and Fords on Tuesday morning in a show of strength by auto workers on strike from Stellantis's nearby Jeep plant.  Dozens set out in an Ohio-to-Michigan convoy to rally support for their walkout, many Jeeps adorned with signs reading ""No Justice, No Jeeps.""",2023-09-20 00:26:39.546544
9,Chinese EV maker Nio raises $1 bln in convertible bond deal,Business,Reuters,"Chinese electric vehicle maker Nio Inc said on Wednesday it had raised $1 billion in a two-tranche convertible bond from which it intends to use the proceeds to pay down debt and strengthen its balance sheet.  The company raised $500 million in a six-year put-four convertible bond and the same amount in a seven-year put-five bond.  The shorter dated bond has a 3.875% interest rate, while the seven year bond's rate is 4.625%, Nio said in a Hong Kong Stock Exchange announcement.",2023-09-20 00:37:30.524323
10,"UN chief puts spotlight on 'movers,' excludes US, China at climate summit",World,Reuters,"U.N. Secretary General Antonio Guterres on Wednesday will gather heads of state and business leaders that he has identified as taking stronger action on climate change for a meeting aimed at building momentum ahead of the COP28 climate summit.  Missing from the list of 34 speakers representing countries at Guterres' Climate Ambition Summit are the world's biggest emitters China and United States, as well as the United Arab Emirates, the host of the COP28 gathering in December.  The summit will feature speeches from leaders who are responding to his call to ""accelerate"" global climate action, including Brazil, Canada, the European Union, Pakistan, South Africa and Tuvalu.",2023-09-20 00:37:30.526658
11,Chinese EV maker Nio raises $1 billion in convertible bond deal,Business,Reuters,"Chinese electric vehicle maker Nio Inc said on Wednesday it had raised $1 billion in a two-tranche convertible bond from which it intends to use the proceeds to pay down debt and strengthen its balance sheet.  The company raised $500 million in a six-year put-four convertible bond and the same amount in a seven-year put-five bond.  The bonds will be senior, unsecured notes.",2023-09-20 00:39:41.090226
12,Dollar firm but softens against yen ahead of FOMC,Business,Reuters,"The dollar remained firm on Wednesday but softened slightly against the yen ahead of a much-anticipated rate decision by the Federal Reserve later in the day.  The U.S. dollar index, which measures the greenback against a basket of rivals, stayed mostly flat at 105.13 as traders awaited the Fed's rate decision.  Markets expect the Fed will almost certainly keep rates on hold at 5.25% to 5.50%, putting the focus on the central bank's forward guidance.",2023-09-20 00:44:02.145286
13,FOREX-Dollar firm but softens against yen ahead of FOMC,Business,Reuters,"The dollar remained firm on Wednesday but softened slightly against the yen ahead of a much-anticipated rate decision by the Federal Reserve later in the day.  The U.S. dollar index, which measures the greenback against a basket of rivals, stayed mostly flat at 105.13 as traders awaited the Fed's rate decision.  Markets expect the Fed will almost certainly keep rates on hold at 5.25% to 5.50%, putting the focus on the central bank's forward guidance.",2023-09-20 00:44:02.147351
14,"Yellen says she trusts IMF, World Bank, Morocco to adjust annual meetings after disaster",World,Reuters,"U.S. Treasury Secretary Janet Yellen said on Tuesday that she trusts the leaders of the World Bank and the International Monetary Fund to adjust their Oct. 9-15 annual meetings in Morocco in an appropriate way given the country's devastating earthquake.  IMF Managing Director Kristalina Georgieva, World Bank President Ajay Banga and Moroccan Economy Minister Nadia Fettah Alaoui announced on Monday that the meetings in Marrakech would proceed despite the Sept. 8 earthquake that killed over 2,900 people in the nearby High Atlas Mountains.",2023-09-20 00:48:34.870917
15,UPDATE 1-Japan's exports extend declines as China slowdown bites,News,Reuters,"Japan's exports fell in August for a second straight month, weighed by declines in China's demand for steel and heavy oil and stoking fears of a downturn in the face of elevated interest rates.  Ministry of Finance (MOF) data showed on Wednesday exports fell 0.8% year-on-year in August, slower than economists' median estimates of 1.7% decline and following a 0.3% drop in Japan's overseas shipments.  It was the second straight month of annual declines.",2023-09-20 00:52:50.202102
16,Ex-Deutsche Bank investment banker pleads guilty to crypto fraud,Business,Reuters,"A former Deutsche Bank investment banker, who was charged in April with misappropriating funds from investors he wooed with promises of big returns from cryptocurrency trading, pleaded guilty on Tuesday, the U.S. Justice Department said.  As part of his plea agreement, Russell will be required to pay restitution in the amount of more than $1.5 million.  ""Russell leveraged investor interest in cryptocurrency markets to perpetrate a scheme to defraud clients who trusted him,"" said United States Attorney Breon Peace.",2023-09-20 00:59:49.487082
17,UPDATE 1-Mexico's Hokchi demands $190 mln in missing payments from Pemex -sources,Business,Reuters,"Mexico's Hokchi Energy has opened a dispute resolution procedure against state-run firm Pemex as it looks to recover some $190 million owed by the heavily indebted oil giant to Hokchi, two sources with knowledge of the matter said on Tuesday.  Hokchi, Mexico's second-largest private producer of crude oil and gas, sells all of its hydrocarbons to Pemex, the largest oil firm in the nation.  The two sources said Hokchi had notified Pemex in mid-September it was now beginning the dispute resolution procedure, a first step before potential legal proceedings.",2023-09-20 01:04:27.516609
18,Want a three percent mortgage rate? Give assumable mortgages a look,Business,Yahoo Finance Video,"With mortgage rates lingering above 7% a lot of potential homebuyers may be tempted to sit on the sidelines and wait for rates to come down. But Roam CEO Raunaq Singh suggests buyers and sellers take a look at assumable loans. Assumable loans, according to Singh, are loans in which the buyers ""take over the interest rate that the seller currently has."" In other words, the rates that the seller paid are the same rates the new buyer will pay. This, according to Singh allow for more affordability and increases opportunities for sellers. Roam takes 1% of purchase price from each sale made through their site.",2023-09-20 12:17:25.342452
19,"UPDATE 1-Greek July trade surplus drops, tourism receipts rise",Business,Reuters,"Greece's current account surplus dropped in July compared to the same month last year as primary and secondary income accounts deteriorated, offseting tourism revenues, data from the Bank of Greece showed on Wednesday.  The central bank data showed the current account surplus was 828 million euros ($884.97 million) in July, down from a surplus of 963 million euros in July 2022.  The surplus in the balance of goods and services more than doubled, helped by tourism revenues which came in at 4.15 billion euros, a 15% rise compared to July last year, when the country had just recovered from COVID-19 restrictions.",2023-09-20 12:17:25.377851
20,UPDATE 1-Karabakh Armenians agree to сeasefire after Azerbaijan offensive - statement,World,Reuters,"Separatist Armenian forces in Nagorno-Karabakh said on Wednesday they had agreed to the terms of a ceasefire proposed by Russian peacekeepers after suffering a series of battlefield setbacks at the hands of the Azerbaijani army.  According to a statement released via Facebook, the ceasefire agreement, effective from 1300 local time on Wednesday, means the separatist forces will disband and disarm.  The statement also spoke of regular Armenian forces also withdrawing from Karabakh.",2023-09-20 12:18:38.667294
21,Futures inch up on hopes of pause in Fed rate hikes,Business,Reuters,"The U.S. central bank is expected to maintain its key rate in the range of 5.25%-5.50% at 2 p.m. ET, but the focus will be on projections and Chair Jerome Powell's comments for clues on the outlook for rates and inflation.  Recent economic data has signaled an easing in core inflation, fuelling bets of a likely peak in interest rates, but surging oil prices have left a print on the headline inflation figures, paving the way for the Fed to project higher-for-longer rates.  ""The Fed's updated projections are likely to show one more hike in 2023, higher growth in 2023/24 but with the aim to stabilize inflation,"" said Gabriele Foà, Portfolio Manager at Algebris Investments.",2023-09-20 12:49:44.541375
